Brand,Color,Price,no_of_star,rating,discount,Model,Ton
LG,,"₹32,990",3,4.1,52% off,2023,1.5
Voltas,White,"₹27,490",3,4.3,36% off,,1.5
Whirlpool,White,"₹43,500",,4.3,20% off,,1.5
LG,White,"₹46,990",5,4.2,39% off,,1.5
SAMSUNG,White,"₹45,999",3,4.2,41% off,,
CARRIER,White,"₹50,999",,,27% off,,
Voltas,White,"₹44,500",5,4.3,35% off,,1.5
Daikin,White,"₹72,500",2,,18% off,,2.2
LG,White,"₹38,250",5,,51% off,2023,
Daikin,White,"₹56,996",3,3.9,25% off,,1.8
Blue,White,"₹29,999",3,4.1,20% off,,1.5
Lloyd,White,"₹29,989",3,5,11% off,,
Hitachi,White,"₹49,300",5,2.8,25% off,,1.5
LG,White,"₹49,990",5,,16% off,,1.5
O,White,"₹81,900",5,,5% off,,
CARRIER,White,"₹53,400",3,,35% off,,
Blue,,"₹39,990",3,3.7,37% off,2023,1.5
Hitachi,White,"₹36,992",5,4,44% off,,1.5
CARRIER,White,"₹50,999",,,27% off,,
Hisense,White,"₹37,490",3,4.2,42% off,,
Panasonic,White,"₹34,399",3,,19% off,,1.5
Whirlpool,White,"₹38,250",5,4.1,38% off,,1.5
Blue,White,"₹35,890",3,3.6,41% off,,1.5
Voltas,White,"₹25,383",5,4.3,26% off,,1.5
Blue,,"₹48,700",5,,32% off,2023,1.5
Voltas,White,"₹34,990",5,3.7,45% off,,
Hitachi,White,"₹39,800",3,,36% off,2023,1.5
Lloyd,White,"₹29,990",2,,36% off,,
Hitachi,White,"₹69,000",2,,5% off,,
O,White,"₹65,999",,,11% off,,1.5
Lloyd,White,"₹48,599",5,,36% off,,1.5
Voltas,White,"₹70,436",5,4.2,,,1.5
Lloyd,White,"₹27,490",3,,42% off,2023,1.5
